,Topic,Count,KeyBERT,OpenAI,MMR,POS
0,9,211,"static radio, radio playing, radio, radio speaker, radio person, radio ambient, loud radio, voice radio, static noise, station coming",General Noises and Loud Sounds,"television, station, static radio, signal, tuner, playing, different, dial, switched, high","radio, static, television, station, static radio, signal, channel, tuner, broadcast, playing"
1,-1,4303,"birds chirping, birds chirp, chirping, chirp, birds, noises, wind blows, bird, crickets, sounds",Machinery,"person, background, wind, siren, metal, birds chirping, making, loudly, engine, repeatedly","person, background, birds, machine, air, water, wind, people, snow, siren"
2,0,3507,"door opened, metal object, metal objects, door, creaking, squeaking, creaks, repeatedly, machine running, banging",Bird and Insect Sounds,"door, machine, loud, repeatedly, bells, low, time, metallic, church, played","door, metal, machine, object, bell, loud, objects, times, sound, noise"
3,1,3250,"water falling, rain falls, water dripping, water drips, raining, water flowing, rain coming, water pouring, rainfall, rain",Water & Water Flowing Sounds,"thunder, running, rain falls, roof, water flowing, dripping, background, birds, drain, poured","water, rain, thunder, heavy, faucet, roof, stream, sink, flows, dripping"
4,7,477,"person writes, scribbles, pencil, piece paper, paper, pen, sheets paper, drawing, papers shuffled, marker person",Machinery,"person, bag, piece paper, writes, eating, marker, chips, crumpled, office, machine","paper, papers, person, bag, writing, printer, piece, chalkboard, typing, marker"
5,2,2061,"train passes, train, railroad, honking, cars passing, driving past, whistle, track, horn, station",Vehicle Engines,"engine, passes, people, horn, distance, station, busy, street, background, cars drive","train, engine, car, cars, vehicle, traffic, truck, passes, vehicles, road"
6,3,1746,"birds chirping, chirping birds, birds chirp, chirping background, chirping loudly, bird chirping, bird chirps, chirping bird, crickets chirping, chirping",Bird and Insect Sounds,"birds chirping, background, dog, traffic, different, insects, loudly, tweeting, night, people","birds, chirping, bird, chirp, background, dog, singing, crickets, chirps, traffic"
7,5,787,"walks gravel, walking gravel, person walks, person walking, man walking, footsteps person, walking, gravel, walks, person wearing",Crowd Noise with Footsteps,"leaves, gravel, person walks, steps, hard, path, wooden floor, heels, wearing, man","person, leaves, footsteps, gravel, shoes, floor, stairs, steps, feet, surface"
8,4,1631,"people talking, people speaking, people talk, talking people, people speak, people chatting, group people, crowd people, crowd, people having",Human Activity,"people talking, man, children, group, background, large, crowd people, clapping, music, restaurant","people, crowd, man, children, group, background, large, men, woman, room"
9,10,172,"wood cutting, sawing, saw used, sawed, piece wood, wood tool, pieces wood, person cutting, buzz saw, cutting piece",Machinery,"piece wood, chopping, person, saw used, table, buzzes, sander, hair, circular, power","saw, wood, person, electric, piece, table, buzzes, sander, tool, hair"
10,11,152,"burning, crackling, crackles, crackling popping, crackles background, pops crackles, ignites, ignited, popping sounds, torch",General Noises and Loud Sounds,"gas, wood, pops, small, turned, match lit, crackles background, stove, steadily, person adjusting","crackles, crackling, match, gas, wood, popping, pops, small, pit, stove"
11,6,587,"wind blowing, wind blows, blowing wind, wind waves, blows wind, winds, wind howls, windy, wind chimes, windy day",Water & Water Flowing Sounds,"blows, beach, chimes, strong, waves crash, outside, background, shore wind, howling, rocky","wind, waves, shore, beach, ocean, chimes, strong, gusts, strong wind, storm"
12,8,311,"airplane flying, flying overhead, plane flying, flies overhead, plane passes, flying air, airplane, fly overhead, flies past, flying",Vehicle Engines,"plane, flies, helicopter, engine, flying overhead, distance, airport, birds chirp, takes, landing","airplane, plane, overhead, helicopter, jet, engine, sky, birds, distance, air"
